,model prediction,sex,residence,year_of_birth,language population,village population,mother tongue,elevation,pred
82,indirect,м,Mallakent,1922.0,15872.0,125.0,муиринский даргинский,491.374847412109,0.930923345141178
83,indirect,м,Megeb,1922.0,710.0,710.0,мегебский,1712.15393066406,1.2831996290347938
84,indirect,м,Mikik,1922.0,3319.0,258.0,цахурский,1640.0,1.2131422535523426
85,indirect,м,Mukar,1922.0,31987.0,249.0,лакский,1667.02294921875,0.260290842062026
86,indirect,м,Obokh,1922.0,117613.0,408.0,аварский,1765.45129394531,0.6583040492233114
87,indirect,м,Richa,1922.0,7886.0,885.0,агульский,2053.85205078125,1.2255816442428484
88,indirect,м,Rikvani,1922.0,4984.0,836.0,андийский,1874.55419921875,1.2332484904986014
89,indirect,м,Rutul,1922.0,8229.0,1769.0,рутульский,1342.49267578125,1.4739195664591542
90,indirect,м,Shangoda,1922.0,117613.0,175.0,аварский,1504.90002441406,0.5564637702750496
91,indirect,м,Shukty,1922.0,1633.0,653.0,гапшиминский даргинский,1663.48840332031,0.1251079387445073
92,indirect,м,Sutbuk,1922.0,10426.0,327.0,сирхинский даргинский,1365.90209960938,0.9328240053679172
93,indirect,м,Tad-Magitl,1922.0,2902.0,295.0,ахвахский,1457.0,1.2140637796579599
94,indirect,м,Tlibisho,1922.0,3052.0,250.0,багвалинский,1667.69287109375,1.2606681548746332
95,indirect,м,Tsukhta,1922.0,50241.0,273.0,акушинский даргинский,1452.47998046875,0.2623017302502234
96,indirect,м,Tsulikana,1922.0,31987.0,272.0,лакский,1746.52551269531,0.44166282617330216
97,indirect,м,Tukita,1922.0,127.0,127.0,тукитинский,1939.52868652344,1.317537002849151
98,indirect,м,Tukita,1922.0,127.0,127.0,тукитинский,1939.52868652344,1.317537002849151
99,indirect,м,Upper Ubekimakhi,1922.0,14258.0,411.0,цудахарский даргинский,1246.0,0.8512794109394229
100,indirect,м,Uragi,1922.0,10426.0,305.0,сирхинский даргинский,1538.4582519531198,1.2245274740788592
101,indirect,м,Uri,1922.0,31987.0,311.0,лакский,1666.2683105468802,0.5205092246615429
102,indirect,м,Urtsaki,1922.0,10426.0,504.0,сирхинский даргинский,1488.6706542968802,0.7526827340755028
103,indirect,м,Zilo,1922.0,4984.0,510.0,андийский,1202.365234375,1.1388356840978855
104,direct,ж,Balkhar,1922.0,31987.0,1195.0,лакский,1658.48388671875,0.6495115955810069
105,direct,ж,Bezhta,1922.0,1270.0,1058.0,бежтинский,1633.0812988281302,0.8959062889230931
106,direct,ж,Burkikhan,1922.0,7886.0,780.0,агульский,1917.4191894531305,1.5458061413243291
107,direct,ж,Chabanmakhi,1922.0,3723.0,179.0,кадарский даргинский,1020.0406494140601,1.5728787711010372
108,direct,ж,Chankurbe,1922.0,3723.0,663.6779661016949,кадарский даргинский,882.737670898437,1.1621049906905072
109,direct,ж,Chirag,1922.0,26628.78333333333,663.6779661016949,чирагский даргинский,2223.19091796875,1.7896612162249237
110,direct,ж,Chuni,1922.0,117613.0,342.0,аварский,1375.91101074219,2.563654364912472
111,direct,ж,Darvag,1922.0,16786.0,1223.0,азербайджанский,355.02688598632795,0.6101524770591928
112,direct,ж,Dorgeli,1922.0,47605.0,3162.0,кумыкский,667.396423339844,0.8062256909325108
113,direct,ж,Durangi,1922.0,117613.0,345.0,аварский,1040.05541992188,0.7420022140524678
114,direct,ж,Dyubek,1922.0,24826.0,1041.0,табасаранский,450.744720458984,0.9921102489450744
115,direct,ж,Dzhavgat,1922.0,13236.0,579.0,кайтагский даргинский,365.503295898437,1.9944731312476909
116,direct,ж,Ersi,1922.0,16786.0,1197.0,азербайджанский,407.0,0.5815656908180304
117,direct,ж,Fiy,1922.0,1096.0,916.0,гдымско-фийский лезгинский,1927.37268066406,1.1034896307242283
118,direct,ж,Gdym,1922.0,1096.0,180.0,гдымско-фийский лезгинский,2026.662841796869,1.030826297659587
119,direct,ж,Gelmets,1922.0,3319.0,403.0,цахурский,1750.0,1.1634278284613302
120,direct,ж,Hinuq,1922.0,150.0,150.0,гинухский,1941.0,1.7309416850066766
121,direct,ж,Ikhrek,1922.0,8229.0,1456.0,рутульский,1792.92919921875,1.1183757437545558
122,direct,ж,Karata,1922.0,4336.0,1262.0,каратинский,1463.62890625,1.2327420027958655
123,direct,ж,Khlyut,1922.0,63939.0,787.0,лезгинский,1217.13757324219,0.8044177916687658
124,direct,ж,Khnov,1922.0,3792.0,1467.0,хновский рутульский,1836.39538574219,1.7681786324641011
125,direct,ж,Khpyuk,1922.0,7886.0,397.0,агульский,2186.0732421875,1.775803210149436
126,direct,ж,Kiche,1922.0,8229.0,188.0,рутульский,1291.65612792969,1.917047158070584
127,direct,ж,Kidero,1922.0,2980.0,283.0,цезский,1900.54162597656,0.9275788851616944
128,direct,ж,Kina,1922.0,8229.0,196.0,рутульский,1573.32702636719,1.2612413207342483
129,direct,ж,Kizhani,1922.0,117613.0,309.0,аварский,1515.361328125,0.6559790954967801
130,direct,ж,Kubachi,1922.0,3502.0,1733.0,кубачинский даргинский,1636.75378417969,0.8456962523691908
131,direct,ж,Kuli,1922.0,31987.0,2430.0,лакский,1955.77087402344,0.7837742244041567
132,direct,ж,Kuli,1922.0,31987.0,2430.0,лакский,1955.77087402344,0.7837742244041567
133,direct,ж,Kurdul,1922.0,3319.0,205.0,цахурский,1880.81872558594,1.229005714596564
134,direct,ж,Mallakent,1922.0,15872.0,125.0,муиринский даргинский,491.374847412109,1.1514020647887333
135,direct,ж,Megeb,1922.0,710.0,710.0,мегебский,1712.15393066406,0.8314871881885799
136,direct,ж,Mikik,1922.0,3319.0,258.0,цахурский,1640.0,1.2718998932526902
137,direct,ж,Mukar,1922.0,31987.0,249.0,лакский,1667.02294921875,0.5708054850929115
138,direct,ж,Obokh,1922.0,117613.0,408.0,аварский,1765.45129394531,0.7292198645911405
139,direct,ж,Richa,1922.0,7886.0,885.0,агульский,2053.85205078125,1.3072812453373628
140,direct,ж,Rikvani,1922.0,4984.0,836.0,андийский,1874.55419921875,1.2414651551546578
141,direct,ж,Rutul,1922.0,8229.0,1769.0,рутульский,1342.49267578125,1.73820316154984
142,direct,ж,Shangoda,1922.0,117613.0,175.0,аварский,1504.90002441406,0.9403466186098676
143,direct,ж,Shukty,1922.0,1633.0,653.0,гапшиминский даргинский,1663.48840332031,0.17935378212130446
144,direct,ж,Sutbuk,1922.0,10426.0,327.0,сирхинский даргинский,1365.90209960938,1.105187892147397
145,direct,ж,Tad-Magitl,1922.0,2902.0,295.0,ахвахский,1457.0,0.7774945171936554
146,direct,ж,Tlibisho,1922.0,3052.0,250.0,багвалинский,1667.69287109375,0.8385841699702478
147,direct,ж,Tsukhta,1922.0,50241.0,273.0,акушинский даргинский,1452.47998046875,0.4435695303742429
148,direct,ж,Tsulikana,1922.0,31987.0,272.0,лакский,1746.52551269531,0.7742149230209988
149,direct,ж,Tukita,1922.0,127.0,127.0,тукитинский,1939.52868652344,0.7623259172561953
150,direct,ж,Tukita,1922.0,127.0,127.0,тукитинский,1939.52868652344,0.7623259172561953
151,direct,ж,Upper Ubekimakhi,1922.0,14258.0,411.0,цудахарский даргинский,1246.0,1.3840723525050849
